IAB ID,COMPANY NAME,RATING,RATING BY USER,RATING STATUS,ESTABLISH YEAR,5 YEARS PERIOD,OFFICE ADDRESS,DIVISION,THANA,POST CODE,GOOGLE MAP NUMBER,EMAIL ID,CONTACT,WEBSITE,WEBSITE STATUS,NAME OF PROPRIETOR/ PARTNER/ DIRECTOR,LAB ID,DESIGNATION,IAB MEMBER ARCHITECT,ARCHITECTURAL GRADUATE,TOTAL
IAB-RP-A01,ABASHAN UPODESHTA LIMITED,,,Unavailable,1996,1996-2000,"Bengal Centre, Plot 2, Civil Aviation, New Airport Road, Khilkhet, Dhaka-1229",Dhaka,Khilkhet,Dhaka-1229,"23.85333808648471, 90.40449875167143",mail@abashan.com,"+88-02-8901185, 8901180",www.abashan.com,Available,Ar. Luva Nahid Chowdhury ,C-018,Managing Director,3,2,5
IAB-RP-A02,ADS ARCHITECTS DESIGN STUDIO,,,Unavailable,2005,2005-2009,"House#29-31, Road#18, Sector#7, Uttara , Dhaka 1230",Dhaka,Uttara,Dhaka-1230,"23.871023478385503, 90.3943322481529",ads.architectstudio@gmail.com,+88-02-8950536,,Unavailable,Ar. Md. Sayedul Hasan ,H-103,Principal Architect,4,1,5
IAB-RP-A03,AKRITY,,,Unavailable,2008,2008-2012,"House-10/GA (GF), Road-2, Shyamoli, Dhaka",Dhaka,Shyamoli,,"23.813134088776504, 90.37087117051954","akriti.si@gmail.com,",+88-02-9111557,www.akritybd.com,Available,Ar. Monir Hossain Khan ,K-104,Architect,1,7,8
IAB-RP-A04,ANWAR & ASSOCIATES,,,Unavailable,2006,2006-2010,"House #221(GF), Road -15, New DOHS, Mohakhali, Dhaka 1206.",Dhaka,Mohakhali,Dhaka-1206,"23.832308755330327, 90.38934979671399",ahaq06@yahoo.com,+88-02-8837313,,Unavailable,Ar. Anwarul Haq Chow ,C-021,Principal Architect,1,3,4
IAB-RP-A05,ARC ARCHITECTURAL CONSULTANTS,,,Unavailable,1982,1982-1986,"60A, Road 7A, Dhanmondi, Dhaka-1209",Dhaka,Dhanmondi,Dhaka-1209,"23.743525617517214, 90.37340079640694","arc.architect@gmail.com, nahaskhalil@yahoo.com",+88-02-8117462,,Unavailable,Ar. Nahas Ahmed khalil ,K-022,Principal Architect,5,3,8
IAB-RP-A06,ARCHDOERS,,,Unavailable,2012,2012-2016,"H#252,R#19(old),West Dhanmondi,Dhaka-1209",Dhaka,Dhanmondi,Dhaka-1209,"23.743935985312966, 90.36695584924296",archdoers@gmail.com,"01816506988, 01816506989",,Unavailable,Ar. Quazi Fahima Naz ,N-024,Partner Architect,3,2,5
IAB-RP-A07,ARCHEGROUND LTD.,4.8,28,Available,2012,2012-2016,"“NoorMahal”, 44/1, Lake-Circus, Kalabagan, Dhaka-1205",Dhaka,Kalabagan,Dhaka-1205,"23.751242062843126, 90.38155831174859","studio@archeground.com, arche_ground@yahoo.com",+88-02-9138516,www.archeground.com,Available,Ar. Nabi Newaz Khan ,K-106,Chairman,6,3,9
IAB-RP-A08,ARCHFIELD,,,Unavailable,2010,2010-2014,"32/D, Road-10, Banani",Dhaka,Banani,,"23.792349338733317, 90.40627271174593",archfield2010@gmail.com,"01713338002, 01819117710",,Unavailable,Ar. Syeda Nitee Mahbub ,M-090,Partner,4,1,5
IAB-RP-A09,ARCHITECT HASAN & ASSOCIATES LTD.,,,Unavailable,1998,1998-2002,"House# 1/4,Flat# C4,Block# C, Lalmatia, Dhaka-1207",Dhaka,Lalmatia,Dhaka-1207,"23.756301367152435, 90.37178372115497",cmfoundation@gmail.com,+88-02-8125830,,Unavailable,Ar. Md. Hasan Shams Uddin ,S-014,Managing Director,1,5,6
IAB-RP-A10,ARCHITECTES CONTEMPORAIN ARCON,,,Unavailable,1996,1996-2000,"House-2/8, Block-E, Lalmatia, Dhaka",Dhaka,Lalmatia,,"23.755261514347588, 90.36625842524258",sazal953@gmail.com,"044-78004350, 044-78004353",,Unavailable,Ar. S.M. Helaluddin Ahmed ,A-101,Proprietor,3,1,4
